_id,country,market_name,mic,operating_mic,website
642b0b6387b340e987cac609,GB,EURONEXT  UK - REPORTING SERVICES,DRSP,DRSP,WWW.EURONEXT.COM
642b0b6387b340e987cac63c,CA,CANADIAN SECURITIES EXCHANGE,XCNQ,XCNQ,WWW.THECSE.COM
642b0b6387b340e987cac67c,CA,CANADIAN SECURITIES EXCHANGE - PURE,PURE,XCNQ,WWW.THECSE.COM
642b0b6387b340e987cac6ce,GB,ZODIA MARKETS,ZODM,ZODM,WWW.ZODIA-MARKETS.COM
642b0b6487b340e987cac70b,US,FENICS FX ECN,FNFX,BGCF,WWW.FENICSFX.COM
642b0b6487b340e987cac747,NO,NASDAQ OSLO ASA,NORX,NORX,WWW.NASDAQ.COM/SOLUTIONS/EUROPEAN-COMMODITIES
642b0b6487b340e987cac79c,ES,PORTFOLIO STOCK EXCHANGE,POSE,POSE,WWW.PORTFOLIO.EXCHANGE
642b0b6487b340e987cac7eb,US,PUNDION LLC,PUND,PUND,WWW.PUNDION.COM
642b0b6487b340e987cac83f,BG,UNICREDIT BULBANK AD - SYSTEMATIC INTERNALISER,UCBG,UCBG,WWW.UNICREDITBULBANK.BG
642b0b6487b340e987cac890,AU,ASX - NEW ZEALAND FUTURES & OPTIONS,NZFX,XASX,WWW.ASX.COM.AU
642b0b6487b340e987cac8fa,US,"ONECHICAGO, LLC",XOCH,XOCH,WWW.ONECHICAGO.COM
642b0b6487b340e987cac94e,SG,BONDBLOX EXCHANGE,BBLX,BBLX,WWW.BONDBLOX.COM
642b0b6487b340e987cac9a6,HK,BANK OF AMERICA SECURITIES - CENTRAL RISK,BACR,BAIP,WWW.BOFAML.COM
642b0b6487b340e987caca2f,RU,SPB EXCHANGE - ALL MARKETS,SPBE,SPBE,HTTPS://SPBEXCHANGE.RU
642b0b6487b340e987caca66,US,OTC LINK ATS - OTC MARKETS,OTCM,OTCM,WWW.OTCMARKETS.COM
642b0b6487b340e987caca9c,DE,BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 3,STUF,XSTU,WWW.BOERSE-STUTTGART.DE
642b0b6487b340e987cacae8,DE,BOERSE STUTTGART - TECHNICAL PLATFORM 3,XSTP,XSTU,WWW.BOERSE-STUTTGART.DE
642b0b6587b340e987cacb32,DE,BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 3,STUE,XSTU,WWW.BOERSE-STUTTGART.DE
642b0b6587b340e987cacb70,US,COINBASE DERIVATIVES,FREX,FREX,WWW.COINBASE.COM/DERIVATIVES
642b0b6587b340e987cacbd4,IT,HI-CERT - MULTILATERAL TRADING FACILITY,HCER,HMTF,WWW.HIMTF.COM
642b0b6587b340e987cacc21,US,"IDX MARKETS, LLC",IDXM,IDXM,WWW.IDXMARKETS.COM
642b0b6587b340e987cacc70,PT,MILLENNIUM BCP-SYSTEMATIC INTERNALISER,MBCP,MBCP,HTTPS://IND.MILLENNIUMBCP.PT/PT/PARTICULARES/PAGES/WELCOME.ASPX
642b0b6587b340e987caccb8,BG,MTF SOFIA - GROWTH MARKET,GMBG,MBUL,WWW.CAPMAN.BG
642b0b6587b340e987cacd05,US,BLUE OCEAN ALTERNATIVE TRADING SYSTEM,OCEA,OCEA,WWW.BLUEOCEANATS.COM
642b0b6587b340e987cacd51,HK,OSL DIGITAL SECURITIES EXCHANGE,OSDS,OSDS,HTTPS://OSL.COM/EN/HOME
642b0b6587b340e987cacda0,SG,OSL SG EXCHANGES,OSSG,OSSG,WWW.SG.OSL.COM
642b0b6587b340e987cace1e,NL,ROUTE4GAS,RR4G,RR4G,HTTPS://ROUTE4GAS.COM/INFO/
642b0b6587b340e987cace53,GB,TRADING 212 UK LIMITED,TRUK,TRUK,WWW.TRADING212.COM
642b0b6587b340e987cace93,GB,UNITEDBLOCKTRADE,UGEN,UGEN,WWW.UNITEDGENERAL.CO.UK
642b0b6587b340e987cacec4,PL,WARSAW STOCK EXCHANGE/ EQUITIES/GLOBAL CONNECT - MTF,XGLO,XWAR,WWW.GPW.PL
642b0b6687b340e987cacf0f,PL,WARSAW STOCK EXCHANGE/INDICES,WIND,XWAR,WWW.GPWBENCHMARK.PL
642b0b6687b340e987cacf48,SG,CNODE,CNOD,CNOD,WWW.SGX.COM
642b0b6687b340e987cacfa3,LU,BGL BNP PARIBAS  - SYSTEMATIC INTERNALISER,BGLU,BGLU,WWW.BGL.LU
642b0b6687b340e987cacff8,US,GFI SECURITIES LLC - FENICS DELTA X,FNIX,GFAM,WWW.GFIGROUP.COM
642b0b6687b340e987cad048,US,GFI SECURITIES LLC - CREDITMATCH (LATG),LATG,GFAM,WWW.GFIGROUP.COM
642b0b6687b340e987cad08d,US,GFI SECURITIES LLC - ALL MARKETS,GFAM,GFAM,WWW.GFIGROUP.COM
642b0b6687b340e987cad0c8,CY,TRADING 212 MARKETS LIMITED - SYSTEMATIC INTERNALISER,TMCY,TMCY,WWW.TRADING212.COM
642b0b6687b340e987cad111,US,UNIVERSAL BARTER EXCHANGE CREDIT UNION,UBEC,UBEC,HTTP://AIROBOTCRYPTOBANK.COM
642b0b6687b340e987cad154,FR,ENGNSOL - OMP,ENSL,ESLO,HTTP://ENGNSOL.COM/
642b0b6687b340e987cad1ef,FR,ENGNSOL,ESLO,ESLO,HTTP://ENGNSOL.COM/
642b0b6687b340e987cad22a,GB,ICAP UK OTF,IOTF,IOTF,WWW.TPICAP.COM/TPICAP/REGULATORY-HUB
