market_name,mic,operating_mic,website
EURONEXT  UK - REPORTING SERVICES,DRSP,DRSP,WWW.EURONEXT.COM
CANADIAN SECURITIES EXCHANGE,XCNQ,XCNQ,WWW.THECSE.COM
CANADIAN SECURITIES EXCHANGE - PURE,PURE,XCNQ,WWW.THECSE.COM
ZODIA MARKETS,ZODM,ZODM,WWW.ZODIA-MARKETS.COM
FENICS FX ECN,FNFX,BGCF,WWW.FENICSFX.COM
NASDAQ OSLO ASA,NORX,NORX,WWW.NASDAQ.COM/SOLUTIONS/EUROPEAN-COMMODITIES
PORTFOLIO STOCK EXCHANGE,POSE,POSE,WWW.PORTFOLIO.EXCHANGE
PUNDION LLC,PUND,PUND,WWW.PUNDION.COM
UNICREDIT BULBANK AD - SYSTEMATIC INTERNALISER,UCBG,UCBG,WWW.UNICREDITBULBANK.BG
ASX - NEW ZEALAND FUTURES & OPTIONS,NZFX,XASX,WWW.ASX.COM.AU
"ONECHICAGO, LLC",XOCH,XOCH,WWW.ONECHICAGO.COM
BONDBLOX EXCHANGE,BBLX,BBLX,WWW.BONDBLOX.COM
BANK OF AMERICA SECURITIES - CENTRAL RISK,BACR,BAIP,WWW.BOFAML.COM
SPB EXCHANGE - ALL MARKETS,SPBE,SPBE,HTTPS://SPBEXCHANGE.RU
OTC LINK ATS - OTC MARKETS,OTCM,OTCM,WWW.OTCMARKETS.COM
BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 3,STUF,XSTU,WWW.BOERSE-STUTTGART.DE
BOERSE STUTTGART - TECHNICAL PLATFORM 3,XSTP,XSTU,WWW.BOERSE-STUTTGART.DE
BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 3,STUE,XSTU,WWW.BOERSE-STUTTGART.DE
COINBASE DERIVATIVES,FREX,FREX,WWW.COINBASE.COM/DERIVATIVES
HI-CERT - MULTILATERAL TRADING FACILITY,HCER,HMTF,WWW.HIMTF.COM
"IDX MARKETS, LLC",IDXM,IDXM,WWW.IDXMARKETS.COM
MILLENNIUM BCP-SYSTEMATIC INTERNALISER,MBCP,MBCP,HTTPS://IND.MILLENNIUMBCP.PT/PT/PARTICULARES/PAGES/WELCOME.ASPX
MTF SOFIA - GROWTH MARKET,GMBG,MBUL,WWW.CAPMAN.BG
BLUE OCEAN ALTERNATIVE TRADING SYSTEM,OCEA,OCEA,WWW.BLUEOCEANATS.COM
OSL DIGITAL SECURITIES EXCHANGE,OSDS,OSDS,HTTPS://OSL.COM/EN/HOME
OSL SG EXCHANGES,OSSG,OSSG,WWW.SG.OSL.COM
ROUTE4GAS,RR4G,RR4G,HTTPS://ROUTE4GAS.COM/INFO/
TRADING 212 UK LIMITED,TRUK,TRUK,WWW.TRADING212.COM
UNITEDBLOCKTRADE,UGEN,UGEN,WWW.UNITEDGENERAL.CO.UK
WARSAW STOCK EXCHANGE/ EQUITIES/GLOBAL CONNECT - MTF,XGLO,XWAR,WWW.GPW.PL
WARSAW STOCK EXCHANGE/INDICES,WIND,XWAR,WWW.GPWBENCHMARK.PL
CNODE,CNOD,CNOD,WWW.SGX.COM
BGL BNP PARIBAS  - SYSTEMATIC INTERNALISER,BGLU,BGLU,WWW.BGL.LU
GFI SECURITIES LLC - FENICS DELTA X,FNIX,GFAM,WWW.GFIGROUP.COM
GFI SECURITIES LLC - CREDITMATCH (LATG),LATG,GFAM,WWW.GFIGROUP.COM
GFI SECURITIES LLC - ALL MARKETS,GFAM,GFAM,WWW.GFIGROUP.COM
TRADING 212 MARKETS LIMITED - SYSTEMATIC INTERNALISER,TMCY,TMCY,WWW.TRADING212.COM
UNIVERSAL BARTER EXCHANGE CREDIT UNION,UBEC,UBEC,HTTP://AIROBOTCRYPTOBANK.COM
ENGNSOL - OMP,ENSL,ESLO,HTTP://ENGNSOL.COM/
ENGNSOL,ESLO,ESLO,HTTP://ENGNSOL.COM/
ICAP UK OTF,IOTF,IOTF,WWW.TPICAP.COM/TPICAP/REGULATORY-HUB
STIFEL EUROPE BANK AG  - SYSTEMATIC INTERNALISER,SEBA,SEBA,WWW.STIFEL.COM
UBI BANCA - SYSTEMATIC INTERNALISER,UBIM,UBIM,WWW.UBIBANCA.IT
AQUIS EXCHANGE PLC - AMP - DARK ORDER BOOK,XUBS,XUBS,WWW.AQUIS.EU
UBS MTF LIMITED - PERIODIC AUCTION ORDER BOOK,XUMP,XUBS,WWW.UBS.COM/MTF
AMERICAN LEDGER ATS,AMLG,AMLG,WWW.AMERICANLEDGER.COM
BRED BANQUE POPULAIRE - SYSTEMATIC INTERNALISER,BRED,BRED,WWW.BRED.FR
DEUTSCHE BANK - MANUAL OTC,DBMO,DBAG,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
